"날짜","종가","시가","고가","저가","거래량","변동 %"
"2014- 04- 01","1,991.98","1,983.78","1,991.98","1,976.06","214.64M","0.32%"
"2014- 03- 31","1,985.61","1,988.73","1,989.80","1,973.05","241.04M","0.23%"
"2014- 03- 28","1,981.00","1,972.63","1,985.50","1,971.25","244.60M","0.15%"
"2014- 03- 27","1,977.97","1,963.66","1,979.70","1,963.10","218.06M","0.70%"
"2014- 03- 26","1,964.31","1,954.60","1,965.44","1,953.69","248.95M","1.19%"
"2014- 03- 25","1,941.25","1,940.90","1,946.09","1,936.62","225.16M","-0.22%"
"2014- 03- 24","1,945.55","1,937.06","1,950.54","1,937.06","228.28M","0.55%"
"2014- 03- 21","1,934.94","1,930.24","1,935.18","1,927.85","252.87M","0.80%"
"2014- 03- 20","1,919.52","1,934.15","1,934.63","1,919.37","220.60M","-0.94%"
"2014- 03- 19","1,937.68","1,947.34","1,948.15","1,935.27","249.08M","-0.13%"
"2014- 03- 18","1,940.21","1,941.12","1,946.14","1,931.83","274.29M","0.66%"
"2014- 03- 17","1,927.53","1,921.15","1,928.43","1,919.61","214.93M","0.40%"
"2014- 03- 14","1,919.90","1,916.07","1,927.89","1,913.64","254.03M","-0.75%"
"2014- 03- 13","1,934.38","1,940.35","1,946.28","1,931.75","259.62M","0.10%"
"2014- 03- 12","1,932.54","1,957.67","1,958.09","1,930.48","329.92M","-1.60%"
"2014- 03- 11","1,963.87","1,957.22","1,963.87","1,951.20","247.47M","0.48%"
"2014- 03- 10","1,954.42","1,967.63","1,967.66","1,951.96","214.94M","-1.03%"
"2014- 03- 07","1,974.68","1,979.70","1,983.53","1,968.66","231.56M","-0.05%"
"2014- 03- 06","1,975.62","1,973.67","1,975.62","1,968.17","193.74M","0.22%"
"2014- 03- 05","1,971.24","1,973.28","1,977.30","1,970.28","197.70M","0.88%"
"2014- 03- 04","1,954.11","1,954.58","1,963.56","1,952.61","200.37M","-0.54%"
"2014- 03- 03","1,964.69","1,967.90","1,969.16","1,955.11","222.62M","-0.77%"
"2014- 02- 28","1,979.99","1,976.48","1,981.15","1,972.65","252.83M","0.08%"
"2014- 02- 27","1,978.43","1,969.85","1,980.37","1,965.70","201.06M","0.39%"
"2014- 02- 26","1,970.77","1,963.45","1,973.88","1,955.92","209.15M","0.30%"
"2014- 02- 25","1,964.86","1,958.30","1,964.86","1,955.70","226.04M","0.81%"
"2014- 02- 24","1,949.05","1,958.06","1,961.41","1,943.86","193.81M","-0.45%"
"2014- 02- 21","1,957.83","1,948.03","1,957.83","1,946.68","216.32M","1.41%"
"2014- 02- 20","1,930.57","1,932.90","1,941.13","1,927.53","232.32M","-0.64%"
"2014- 02- 19","1,942.93","1,944.70","1,944.70","1,932.44","213.56M","-0.20%"
"2014- 02- 18","1,946.91","1,946.88","1,951.06","1,935.60","200.45M","0.03%"
"2014- 02- 17","1,946.36","1,951.74","1,955.04","1,942.94","215.47M","0.31%"
"2014- 02- 14","1,940.28","1,930.14","1,946.81","1,930.14","216.59M","0.69%"
"2014- 02- 13","1,926.96","1,936.62","1,944.73","1,924.39","187.86M","-0.46%"
"2014- 02- 12","1,935.84","1,942.23","1,942.23","1,933.54","225.37M","0.20%"
"2014- 02- 11","1,932.06","1,924.45","1,935.29","1,920.55","226.38M","0.46%"
"2014- 02- 10","1,923.30","1,928.13","1,928.39","1,916.40","207.96M","0.04%"
"2014- 02- 07","1,922.50","1,922.45","1,923.25","1,910.90","272.96M","0.77%"
"2014- 02- 06","1,907.89","1,897.35","1,910.91","1,897.35","259.44M","0.88%"
"2014- 02- 05","1,891.32","1,897.95","1,901.40","1,888.47","244.03M","0.24%"
"2014- 02- 04","1,886.85","1,894.96","1,898.08","1,885.53","250.98M","-1.72%"
"2014- 02- 03","1,919.96","1,930.09","1,931.81","1,917.64","229.65M","-1.09%"
"2014- 01- 29","1,941.15","1,925.93","1,941.71","1,925.52","219.93M","1.26%"
"2014- 01- 28","1,916.93","1,907.18","1,919.26","1,904.05","270.50M","0.34%"
"2014- 01- 27","1,910.34","1,905.91","1,918.68","1,899.76","340.43M","-1.56%"
"2014- 01- 24","1,940.56","1,941.55","1,947.01","1,924.49","279.24M","-0.36%"
"2014- 01- 23","1,947.59","1,968.77","1,969.04","1,947.01","229.38M","-1.16%"
"2014- 01- 22","1,970.42","1,960.46","1,970.42","1,959.57","243.86M","0.33%"
"2014- 01- 21","1,963.89","1,955.26","1,965.43","1,949.56","289.33M","0.52%"
"2014- 01- 20","1,953.78","1,945.99","1,955.28","1,934.38","279.53M","0.48%"
"2014- 01- 17","1,944.48","1,958.50","1,962.64","1,943.13","260.91M","-0.66%"
"2014- 01- 16","1,957.32","1,957.91","1,965.27","1,955.79","379.57M","0.21%"
"2014- 01- 15","1,953.28","1,956.43","1,956.84","1,945.87","250.87M","0.37%"
