episode_id,equity_peak_date,equity_trough_date,equity_mdd,weight,portfolio_peak_date,portfolio_trough_date,portfolio_mdd,recovered,recovery_days,pair,rebalance_freq
7,2018-09-20,2018-12-24,-0.19801716717669304,0.0,2018-09-20,2018-10-05,-0.012899354282392195,True,21.0,sp500,none
8,2020-02-19,2020-03-23,-0.33925388545577106,1.0,2020-02-19,2020-03-23,-0.33925388545577106,True,148.0,sp500,none
8,2020-02-19,2020-03-23,-0.33925388545577106,0.8,2020-02-19,2020-03-23,-0.28260417385382197,True,136.0,sp500,none
8,2020-02-19,2020-03-23,-0.33925388545577106,0.6,2020-02-19,2020-03-23,-0.2160381798343527,True,119.0,sp500,none
8,2020-02-19,2020-03-23,-0.33925388545577106,0.4,2020-02-19,2020-03-23,-0.13670245970520878,True,74.0,sp500,none
8,2020-02-19,2020-03-23,-0.33925388545577106,0.2,2020-02-19,2020-03-18,-0.05709399255416392,True,19.0,sp500,none
8,2020-02-19,2020-03-23,-0.33925388545577106,0.0,2020-02-19,2020-02-19,0.0,True,0.0,sp500,none
9,2022-01-03,2022-10-12,-0.25358823019648213,1.0,2022-01-03,2022-10-12,-0.25358823019648213,True,464.0,sp500,none
9,2022-01-03,2022-10-12,-0.25358823019648213,0.8,2022-01-03,2022-10-12,-0.24433607861185125,True,469.0,sp500,none
9,2022-01-03,2022-10-12,-0.25358823019648213,0.6,2022-01-03,2022-10-14,-0.2333444971076033,True,481.0,sp500,none
9,2022-01-03,2022-10-12,-0.25358823019648213,0.4,2022-01-03,2022-10-14,-0.21915410906277133,True,525.0,sp500,none
9,2022-01-03,2022-10-12,-0.25358823019648213,0.2,2022-01-03,2022-10-20,-0.20181715911042453,True,670.0,sp500,none
9,2022-01-03,2022-10-12,-0.25358823019648213,0.0,2022-01-03,2023-10-19,-0.2018735293259334,False,,sp500,none
10,2025-02-19,2025-04-08,-0.189118519631579,1.0,2025-02-19,2025-04-08,-0.189118519631579,True,80.0,sp500,none
10,2025-02-19,2025-04-08,-0.189118519631579,0.8,2025-02-19,2025-04-08,-0.1738786589740383,True,79.0,sp500,none
10,2025-02-19,2025-04-08,-0.189118519631579,0.6,2025-02-19,2025-04-08,-0.15278458938879858,True,79.0,sp500,none
10,2025-02-19,2025-04-08,-0.189118519631579,0.4,2025-02-19,2025-04-08,-0.1216611576895984,True,77.0,sp500,none
10,2025-02-19,2025-04-08,-0.189118519631579,0.2,2025-02-19,2025-04-08,-0.07112478835338854,True,57.0,sp500,none
10,2025-02-19,2025-04-08,-0.189118519631579,0.0,2025-02-19,2025-02-19,0.0,True,0.0,sp500,none
0,2000-11-09,2000-12-04,-0.10517418467010364,1.0,2000-11-09,2000-12-04,-0.10517418467010364,True,32.0,kospi,annual
0,2000-11-09,2000-12-04,-0.10517418467010364,0.8,2000-11-09,2000-12-04,-0.07133948035188609,True,9.0,kospi,annual
0,2000-11-09,2000-12-04,-0.10517418467010364,0.6,2000-11-09,2000-11-30,-0.04778877578061158,True,8.0,kospi,annual
0,2000-11-09,2000-12-04,-0.10517418467010364,0.4,2000-11-09,2000-11-30,-0.02515107601640354,True,5.0,kospi,annual
0,2000-11-09,2000-12-04,-0.10517418467010364,0.2,2000-11-09,2000-11-30,-0.002099382338055733,True,1.0,kospi,annual
0,2000-11-09,2000-12-04,-0.10517418467010364,0.0,2000-11-09,2000-11-09,0.0,True,0.0,kospi,annual
1,2001-01-19,2001-04-04,-0.20325038700039166,1.0,2001-01-19,2001-04-04,-0.20325038700039166,True,49.0,kospi,annual
1,2001-01-19,2001-04-04,-0.20325038700039166,0.8,2001-01-19,2001-04-04,-0.17871204417085362,True,55.0,kospi,annual
1,2001-01-19,2001-04-04,-0.20325038700039166,0.6,2001-01-19,2001-04-04,-0.1530944104299613,True,229.0,kospi,annual
1,2001-01-19,2001-04-04,-0.20325038700039166,0.4,2001-01-19,2001-04-04,-0.126324677521509,True,132.0,kospi,annual
1,2001-01-19,2001-04-04,-0.20325038700039166,0.2,2001-01-19,2001-04-03,-0.1000427410490985,True,98.0,kospi,annual
1,2001-01-19,2001-04-04,-0.20325038700039166,0.0,2001-01-19,2001-04-30,-0.07972837535954025,True,59.0,kospi,annual
2,2001-05-29,2001-09-17,-0.2582155201371512,1.0,2001-05-29,2001-09-17,-0.2582155201371512,True,70.0,kospi,annual
